id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1683||EX - Extra.com.br|09/08/2018|0|microondas|30|2018-08-14 15:54:13.0000000
1684||EX - Extra.com.br|09/08/2018|0|extra online|17|2018-08-14 15:54:13.0000000
1685||EX - Extra.com.br|09/08/2018|0|pneu aro 14|13|2018-08-14 15:54:13.0000000
1686||EX - Extra.com.br|09/08/2018|0|cadastro clube extra|9|2018-08-14 15:54:13.0000000
1687||EX - Extra.com.br|09/08/2018|0|relÃ³gio masculino|42|2018-08-14 15:54:13.0000000
1688||EX - Extra.com.br|09/08/2018|0|cadeira escritÃ³rio|5|2018-08-14 15:54:13.0000000
1689||EX - Extra.com.br|09/08/2018|0|j7 prime|9|2018-08-14 15:54:13.0000000
1690||EX - Extra.com.br|09/08/2018|0|notebook|26|2018-08-14 15:54:13.0000000
1691||EX - Extra.com.br|09/08/2018|1|iphone|16|2018-08-14 15:54:13.0000000
1692||EX - Extra.com.br|09/08/2018|1|tablet|0|2018-08-14 15:54:13.0000000
1693||EX - Extra.com.br|09/08/2018|1|microondas|4|2018-08-14 15:54:13.0000000
1694||EX - Extra.com.br|09/08/2018|1|extra online|5|2018-08-14 15:54:13.0000000
1695||EX - Extra.com.br|09/08/2018|1|pneu aro 14|3|2018-08-14 15:54:13.0000000
1696||EX - Extra.com.br|09/08/2018|1|cadastro clube extra|6|2018-08-14 15:54:13.0000000
1697||EX - Extra.com.br|09/08/2018|1|relÃ³gio masculino|4|2018-08-14 15:54:13.0000000
1698||EX - Extra.com.br|09/08/2018|1|cadeira escritÃ³rio|1|2018-08-14 15:54:13.0000000
1699||EX - Extra.com.br|09/08/2018|1|j7 prime|6|2018-08-14 15:54:13.0000000
1700||EX - Extra.com.br|09/08/2018|1|notebook|0|2018-08-14 15:54:13.0000000
1701||EX - Extra.com.br|09/08/2018|2|iphone|45|2018-08-14 15:54:13.0000000
1702||EX - Extra.com.br|09/08/2018|2|tablet|21|2018-08-14 15:54:13.0000000
1703||EX - Extra.com.br|09/08/2018|2|microondas|0|2018-08-14 15:54:13.0000000
1704||EX - Extra.com.br|09/08/2018|2|extra online|6|2018-08-14 15:54:13.0000000
1705||EX - Extra.com.br|09/08/2018|2|pneu aro 14|1|2018-08-14 15:54:13.0000000
1706||EX - Extra.com.br|09/08/2018|2|cadastro clube extra|0|2018-08-14 15:54:13.0000000
1707||EX - Extra.com.br|09/08/2018|2|relÃ³gio masculino|0|2018-08-14 15:54:13.0000000
1708||EX - Extra.com.br|09/08/2018|2|cadeira escritÃ³rio|9|2018-08-14 15:54:13.0000000
1709||EX - Extra.com.br|09/08/2018|2|j7 prime|2|2018-08-14 15:54:13.0000000
1710||EX - Extra.com.br|09/08/2018|2|notebook|0|2018-08-14 15:54:13.0000000
